menú,producto,cantidad,unidad,empaque
11,Leche entera en polvo,15,Bolsa,380
11,Avena en hojuelas,10,Bolsa,200
11,Azúcar refinada,9,Bolsa,500
11,Carne de cerdo,60,gr,1
11,Ahuyama,50,gr,1
11,Cebolla junca,20,gr,1
11,Ajo,0.5,gr,1
11,Aceite vegetal,3,Frasco,500
11,Sal yodada,0.4,Bolsa,500
11,Tomate chonto,18,gr,1
11,Harina de maíz,40,Bolsa,500
11,Margarina suave de mesa,10,Barra,125
11,Fruta grupo N°2,180,gr,1
12,Leche entera en polvo,15,Bolsa,380
12,Fruta de cosecha,60,gr,1
12,Azúcar refinada,9,Bolsa,500
12,Carne de res,60,gr,1
12,Papa capira,50,gr,1
12,Tomate chonto,18,gr,1
12,Cebolla cabezona,18,gr,1
12,Zanahoria,35,gr,1
12,Ajo,0.5,gr,1
12,Cilantro,0.5,gr,1
12,Aceite vegetal,10,Frasco,500
12,Sal yodada,1,Bolsa,500
12,Arroz,40,Bolsa,500
12,Fideo (Cabello de ángel),10,Bolsa,200
13,Leche entera en polvo,15,Bolsa,380
13,Cocoa en polvo sin azúcar,5,Bolsa,230
13,Panela,9,Unidad,500
13,Huevo de gallina Tipo A,55,Unidad,53
13,Aceite vegetal,8,Frasco,500
13,Sal yodada,0.9,Bolsa,500
13,Lentejas,20,Bolsa,500
13,Papa capira,18,gr,1
13,Zanahoria,18,gr,1
13,Tomate chonto,18,gr,1
13,Cebolla cabezona,12,gr,1
13,Ajo,0.5,gr,1
13,Arroz,40,Bolsa,500
13,Aceite vegetal,8,Frasco,500
13,Sal yodada,0.9,Bolsa,500
14,Leche entera en polvo,15,Bolsa,380
14,Panela,9,Unidad,500
14,Carne de res,30,gr,1
14,Proteína vegetal de soya (Carve),7,Pqt,165
14,Sal yodada,0.7,Bolsa,500
14,Tomate chonto,25,gr,1
14,Zanahoria,18,gr,1
14,Cebolla cabezona,12,gr,1
14,Ajo,0.5,gr,1
14,Orégano seco,0.15,Pqt,10
14,Laurel seco,0.1,Pqt,20
14,Aceite vegetal,12,Frasco,500
14,Pasta corta,20,Pqt,250
14,Orégano seco,0.15,Pqt,10
14,Tomillo,0.05,Pqt,15
14,Sal yodada,0.7,Bolsa,500
14,Plátano hartón maduro,70,gr,1
14,Aceite vegetal,12,Frasco,500
15,Leche entera en polvo,15,Bolsa,380
15,Fruta de cosecha,60,gr,1
15,Azúcar refinada,9,Bolsa,500
15,Huevo de gallina Tipo A,55,Unidad,53
15,Cebolla cabezona,18,gr,1
15,Ajo,0.5,gr,1
15,Aceite vegetal,9,Frasco,500
15,Sal yodada,0.6,Bolsa,500
15,Arroz,40,Bolsa,500
15,Pimentón,30,gr,1
15,Achiote (Polvo),0.1,Pqt,25
15,Aceite vegetal,9,Frasco,500
15,Papa capira,70,gr,1
15,Aceite vegetal,9,Frasco,500
15,Romero,0.2,Pqt,20
