menu,producto,cantidad,unidad,empaque
6,Fruta de temporada,60,gr,1
6,Leche entera en polvo,15,Bolsa gr,380
6,Azúcar refinada,9,Bolsa gr,500
6,Habichuela,30,gr,1
6,Proteína vegetal de soya (Carve),15,Pqt gr,165
6,Zanahoria,18,gr,1
6,Pimentón,8,gr,1
6,Ajo,0.5,gr,1
6,Aceite vegetal,15,Frasco,500
6,Sal yodada,1.2,Bolsa gr,500
6,Albahaca,0.1,gr,1
6,Cilantro,0.5,gr,1
6,Arroz,40,Bolsa gr,500
6,Achiote (Polvo),0.1,Pqt gr,25
6,Papa criolla,80,gr,1
6,Fruta grupo N°1,180,Unidad,180
7,Leche entera en polvo,15,Bolsa,380
7,Panela,9,Unidad,500
7,Huevo de gallina tipo A,55,Unidad,53
7,Cebolla junca,16,gr,1
7,Aceite vegetal,9,Frasco,500
7,Sal yodada,1.2,Bolsa,500
7,Arroz,40,Bolsa,500
7,Aceite vegetal,9,Frasco,500
7,Sal yodada,1.2,Bolsa,500
7,Plátano hartón maduro,50,gr,1
7,Fríjol,20,Bolsa,250
7,Ahuyama,20,gr,1
7,Tomate chonto,20,gr,1
7,Zanahoria,20,gr,1
7,Paprika,0.1,Pqt,15
8,Leche entera en polvo,15,Bolsa,380
8,Avena en hojuelas,10,Bolsa,200
8,Azúcar refinada,9,Bolsa,500
8,Carne de cerdo,60,gr,1
8,Aceite vegetal,4,Frasco,500
8,Cebolla cabezona,35,gr,1
8,Ajo,1,gr,1
8,Tomillo,0.1,Pqt,15
8,Sal yodada,1.2,Bolsa,500
8,Panela,1.5,Unidad,500
8,Arroz,40,Bolsa,500
8,Cúrcuma,0.1,Pqt,25
8,Sal yodada,1.2,Bolsa,500
8,Cilantro,0.5,gr,1
8,Papa capira,70,gr,1
8,Margarina suave de mesa,10,Barra,125
8,Fruta grupo N°1,180,Unidad,180
9,Leche entera en polvo,15,Bolsa,380
9,Fruta de cosecha,60,gr,1
9,Azúcar refinada,12,Bolsa,500
9,Carne de res,60,gr,1
9,Aceite vegetal,10,Frasco,500
9,Habichuela,20,gr,1
9,Ajo,1,gr,1
9,Cebolla cabezona,20,gr,1
9,Sal yodada,1.7,Bolsa,500
9,Tomate chonto,30,gr,1
9,Zanahoria,8,gr,1
9,Cebolla cabezona,20,gr,1
9,Aceite vegetal,10,Frasco,500
9,Azúcar refinada,12,Bolsa,500
9,Laurel seco,0.1,Pqt,20
9,Orégano seco,0.1,Pqt,10
9,Albahaca,0.1,gr,1
9,Pasta tornillo,20,Pqt,250
9,Plátano hartón maduro,70,gr,1
9,Harina de trigo fortificada,10,Bolsa,500
9,Azúcar refinada,12,Bolsa,500
9,Sal yodada,1.7,Bolsa,500
9,Aceite vegetal,10,Frasco,500
10,Leche entera en polvo,15,Bolsa,380
10,Cocoa en polvo sin azúcar,5,Bolsa,230
10,Panela,9,Unidad,500
10,Carne de cerdo,60,gr,1
10,Tomate chonto,12,gr,1
10,Cebolla cabezona,10,gr,1
10,Cúrcuma,0.1,Pqt,25
10,Ajo,0.5,gr,1
10,Aceite vegetal,11,Frasco,500
10,Sal yodada,0.7,Bolsa,500
10,Papa capira,300,gr,1
10,Aceite vegetal,11,Frasco,500
10,Paprika,0.1,Pqt,15
10,Sal yodada,0.7,Bolsa,500
10,Galletas tipo soda (2),8,Pqt,128

